location_id,store_name
112-0001,Stillwater (OK)
112-0002,Muskogee (OK)
112-0003,Lawton (OK)
112-0004,Ardmore (OK)
112-0005,Durant (OK)
112-0006,Wichita Falls (TX)
112-0007,Gainesville (TX)
112-0008,Lufkin (TX)
112-0009,Nacogdoches (TX)
112-0010,Little Elm (TX)
112-0011,Princeton (TX)
112-0012,Amelia (OH)
112-0013,Milford (OH)
112-0014,Cincinnati - Winton Rd (OH)
112-0015,Centerville (OH)
112-0016,Cincinnati - Red Bank Rd (OH)
112-0017,West Chester (OH)
112-0018,Harrison (OH)
112-0019,Streetsboro (OH)
112-0020,Strongsville (OH)
112-0021,Loveland (OH)
112-0022,Avon (OH)
112-0023,Lorain (OH)
112-0024,Beavercreek (OH)
112-0026,Fairfield (OH)
112-0027,Florence (KY)
112-0028,Englewood - S Main (OH)
112-0029,Grove City (OH)
112-0030,Hilliard (OH)
112-0031,McAlester (OK)
112-0032,Plano (TX)
112-0033,Brownwood (TX)
112-0034,Marshall (TX)
112-0035,Tulsa - 51st (OK)
112-0036,Denton - Teasley (TX)
112-0037,McKinney - Hardin Blvd (TX)
112-0038,Ada (OK)
112-9001,Stillwater- OSU (OK)
112-0040,Sherman
112-0042,Victoria
112-0043,Greenville
112-0039,Bentonville (AR)
